reward,avg_reward,loss
12.0,0.6,5.4575562
64.0,3.77,28.34178
64.0,6.782,32.29559
24.0,7.642,11.304156
25.0,8.51,10.888207
25.0,9.335,12.06242
38.0,10.768,18.265423
15.0,10.98,7.801319
11.0,10.981,5.2442513
67.0,13.782,32.348286
26.0,14.393,12.481412
15.0,14.423,7.2945623
13.0,14.352,5.6714144
29.0,15.084,14.001485
16.0,15.13,8.173577
23.0,15.523,10.923641
20.0,15.747,9.432571
19.0,15.91,9.386085
24.0,16.314,11.763862
13.0,16.149,6.3237734
22.0,16.441,10.694909
14.0,16.319,6.699173
22.0,16.603,10.479436
16.0,16.573,7.9506893
14.0,16.444,6.403001
46.0,17.922,21.16357
15.0,17.776,7.318471
8.0,17.287,4.355674
48.0,18.823,23.694035
21.0,18.932,9.778707
16.0,18.785,7.5832524
12.0,18.446,5.8731923
28.0,18.924,12.952377
18.0,18.877,8.15404
13.0,18.584,6.225782
33.0,19.304,15.955774
16.0,19.139,7.709981
21.0,19.232,10.400159
29.0,19.721,14.264588
14.0,19.435,6.8446307
17.0,19.313,7.7451878
44.0,20.547,20.762653
20.0,20.52,9.782465
33.0,21.144,15.275875
13.0,20.737,6.710456
10.0,20.2,5.2969556
72.0,22.79,35.80136
16.0,22.45,8.424554
9.0,21.778,4.1685004
9.0,21.139,4.007243
13.0,20.732,6.413878
10.0,20.195,5.377781
14.0,19.886,6.48787
17.0,19.741,8.665037
10.0,19.254,5.5053434
18.0,19.192,9.055977
12.0,18.832,5.275129
19.0,18.84,9.518276
63.0,21.048,31.862799
23.0,21.146,11.111862
42.0,22.189,19.2691
41.0,23.129,19.92475
48.0,24.373,22.251648
10.0,23.654,4.821396
36.0,24.271,16.965363
10.0,23.558,5.0092297
18.0,23.28,8.458287
12.0,22.716,6.1783314
15.0,22.33,7.2514796
32.0,22.814,14.980112
21.0,22.723,10.611929
26.0,22.887,12.263024
15.0,22.492,7.680291
11.0,21.918,5.0063906
11.0,21.372,5.4790688
12.0,20.903,6.05803
37.0,21.708,17.650629
12.0,21.223,5.509725
15.0,20.912,7.69983
8.0,20.266,3.9601598
12.0,19.853,6.492096
46.0,21.16,22.695385
30.0,21.602,14.599572
20.0,21.522,9.693463
36.0,22.246,16.439741
23.0,22.284,11.06064
35.0,22.919,16.843843
23.0,22.923,10.990028
19.0,22.727,9.061243
14.0,22.291,6.9801855
36.0,22.976,16.862411
26.0,23.128,12.430002
24.0,23.171,11.08218
39.0,23.963,20.271442
18.0,23.664,8.717632
17.0,23.331,8.871783
13.0,22.815,6.4638987
16.0,22.474,7.99673
34.0,23.05,16.868776
18.0,22.798,8.300938
16.0,22.458,7.03971
